DOI,Fig1,Date Published,Author,Cell Type,Salt Conc (M),Electrolyte Salt,Electrolyte Solvent,Proton Donor,Proton Conc (vol%),Alpha,FE%,Rate (nmol/s-cm2),EE%,Current Density (mA/cm2),Passed Charge (C),Applied Voltage (V vs Li+/Li),N2 Pressure (atm/bar),Working Electrode,SSC GDE size (um),Electrode Area (cm2),Other comments
,y,2022-7-22,Du and MacFarlane 1,Autoclave,2,LiNTf2,THF,EtOH,0.584,0.230046948356808,84,790.00184717633,,272.222222222222,245,-0.55,15,Ni wire,,0.15,
,y,2022-7-22,Du and MacFarlane 1,Autoclave,2,LiNTf2,THF,EtOH,0.584,0.192488262910798,99,779.06158835975,,227.777777777778,205,-0.55,15,Ni wire,,0.15,
,y,2022-7-22,Du and MacFarlane 1,Autoclave,2,LiNTf2,THF,EtOH,0.584,0.236619718309859,90,870.614280561671,,280,252,-0.55,15,Ni wire,,0.15,
,y,2022-7-22,Du and MacFarlane 1,Autoclave,2,LiNTf2,THF,EtOH,0.584,0.251643192488263,83,853.877603915953,,297.777777777778,268,-0.55,15,Ni wire,,0.15,
,y,2022-7-22,Du and MacFarlane 1,Autoclave,2,LiNTf2,THF,EtOH,0.584,0.195305164319249,90,718.602263320744,,231.111111111111,208,-0.55,15,Ni wire,,0.15,
,y,2022-7-22,Du and MacFarlane 1,Autoclave,2,LiNTf2,THF,EtOH,0.584,0.242253521126761,85,841.824125781193,,286.666666666667,258,-0.55,15,Ni wire,,0.15,
,,2022-7-22,Du and MacFarlane 1,Autoclave,2,LiNTf2,THF,EtOH,0.584,0.075,65,970.113055483004,,432.000,80.352,-0.55,15,Ni disc,,0.031,
,,2022-7-22,Du and MacFarlane 1,Autoclave,2,LiNTf2,THF,EtOH,0.584,0.075,61,910.413790530204,,432.000,80.352,-0.55,15,Ni disc,,0.031,
,,2022-7-22,Du and MacFarlane 1,Autoclave,2,LiNTf2,THF,EtOH,0.584,0.075,62,925.338606768404,,432.000,80.352,-0.55,15,Ni disc,,0.031,
,,2022-7-22,Du and MacFarlane 1,Autoclave,2,LiNTf2,THF,EtOH,0.584,0.110798122065728,16,10.8711624451087,,19.6666666666667,118,-0.55,1,Ni wire,,0.15,
,,2022-7-22,Du and MacFarlane 1,Autoclave,2,LiNTf2,THF,EtOH,0.584,0.189671361502347,67,77.9291909597993,,33.6666666666667,202,-0.55,5,Ni wire,,0.15,
,y,2022-7-22,Du and MacFarlane 1,Autoclave,2,LiNTf2,THF,EtOH,0.584,0.266666666666667,76,124.28134015637,,47.3333333333333,284,-0.55,10,Ni wire,,0.15,
,y,2022-7-22,Du and MacFarlane 1,Autoclave,2,LiNTf2,THF,EtOH,0.584,0.27981220657277,74,126.976098643823,,49.6666666666667,298,-0.55,10,Ni wire,,0.15,
,y,2022-7-22,Du and MacFarlane 1,Autoclave,2,LiNTf2,THF,EtOH,0.584,0.244131455399061,79,118.269955838206,,43.3333333333333,260,-0.55,10,Ni wire,,0.15,
,y,2022-7-22,Du and MacFarlane 1,Autoclave,2,LiNTf2,THF,EtOH,0.584,0.225352112676056,96,132.665033228445,,40,240,-0.55,20,Ni wire,,0.15,
,y,2022-7-22,Du and MacFarlane 1,Autoclave,2,LiNTf2,THF,EtOH,0.584,0.212206572769953,80,104.10519968621,,37.6666666666667,226,-0.55,20,Ni wire,,0.15,
,y,2022-7-22,Du and MacFarlane 1,Autoclave,2,LiNTf2,THF,EtOH,0.584,0.170892018779343,98,102.700240132923,,30.3333333333333,182,-0.55,20,Ni wire,,0.15,
,,2022-7-22,Du and MacFarlane 1,Autoclave,1,LiNTf2,THF,P(eFAP),0.584,0.176525821596244,77,1667.06512240883,,626.666666666667,188,-0.55,15,Ni wire (isolated),,0.05,
,,2022-7-22,Du and MacFarlane 1,Autoclave,1,LiNTf2,THF,P(eFAP),0.584,0.150234741784038,76,1400.35312852247,,533.333333333333,160,-0.55,15,Ni wire (isolated),,0.05,
,,2022-7-22,Du and MacFarlane 1,Autoclave,1,LiNTf2,THF,P(eFAP),0.584,0.166197183098592,79,1610.29093718172,,590,177,-0.55,15,Ni wire (isolated),,0.05,
,y,2022-7-22,Du and MacFarlane 1,Autoclave,2,LiNTf2,THF,EtOH,0.584,0.483568075117371,100,1482.69297119465,,429.166666666667,515,-0.55,15,Ni wire (isolated),,1.2,
,y,2022-7-22,Du and MacFarlane 1,Autoclave,2,LiNTf2,THF,EtOH,0.584,0.535211267605634,91,1493.34532846342,,475,570,-0.55,15,Ni wire (isolated),,1.2,
,y,2022-7-22,Du and MacFarlane 1,Autoclave,2,LiNTf2,THF,EtOH,0.584,0.535211267605634,91,1493.34532846342,,475,570,-0.55,15,Ni wire (isolated),,1.2,
,y,2022-7-22,Du and MacFarlane 1,Autoclave,2,LiNTf2,THF,EtOH,0.584,0.502347417840376,91,1401.6486854876,,445.833333333333,535,-0.55,15,Ni wire (isolated),,1.2,
,y,2022-7-22,Du and MacFarlane 1,Autoclave,2,LiNTf2,THF,EtOH,0.584,1,90,689.884083927217,,221.875,1065,-0.55,15,Ni wire (isolated),,1.2,
,y,2022-7-22,Du and MacFarlane 1,Autoclave,2,LiNTf2,THF,EtOH,0.584,0.906103286384977,90,2778.24993631618,,893.518518518519,965,-0.55,15,Ni wire (isolated),,1.2,
,,2022-7-22,Du and MacFarlane 1,Autoclave,0.1,LiNTf2,THF,EtOH,0.584,0.0,12.9,0.742785993336347,,1.66666666666667,1.5,-0.55,15,Ni wire,,0.15,
,,2022-7-22,Du and MacFarlane 1,Autoclave,0.5,LiNTf2,THF,EtOH,0.584,0.0863849765258216,20,70.6318463947738,,102.222222222222,92,-0.55,15,Ni wire,,0.15,
,,2022-7-22,Du and MacFarlane 1,Autoclave,0.5,LiNTf2,THF,EtOH,0.584,0.15962441314554,12,78.3092210029016,,188.888888888889,170,-0.55,15,Ni wire,,0.15,
,,2022-7-22,Du and MacFarlane 1,Autoclave,0.5,LiNTf2,THF,EtOH,0.584,0.11924882629108,19,92.6275246470595,,141.111111111111,127,-0.55,15,Ni wire,,0.15,
,,2022-7-22,Du and MacFarlane 1,Autoclave,1,LiNTf2,THF,EtOH,0.584,0.323943661971831,45,595.956203955905,,383.333333333333,345,-0.55,15,Ni wire,,0.15,
,,2022-7-22,Du and MacFarlane 1,Autoclave,1.5,LiNTf2,THF,EtOH,0.584,0.345539906103286,67,946.466741689972,,408.888888888889,368,-0.55,15,Ni wire,,0.15,
,,2022-7-22,Du and MacFarlane 1,Autoclave,1.5,LiNTf2,THF,EtOH,0.584,0.246009389671362,79,794.531498195126,,291.111111111111,262,-0.55,15,Ni wire,,0.15,
,,2022-7-22,Du and MacFarlane 1,Autoclave,1.5,LiNTf2,THF,EtOH,0.584,0.338967136150235,67,928.463298233912,,401.111111111111,361,-0.55,15,Ni wire,,0.15,
,y,2022-7-22,Du and MacFarlane 1,Autoclave,2.5,LiNTf2,THF,EtOH,0.584,0.150234741784038,83,509.777673979674,,177.777777777778,160,-0.55,15,Ni wire,,0.15,
,y,2022-7-22,Du and MacFarlane 1,Autoclave,3,LiNTf2,THF,EtOH,0.584,0.0225352112676056,89,81.9943608148029,,26.6666666666667,24,-0.55,15,Ni wire,,0.15,
,,2022-7-22,Du and MacFarlane 1,Autoclave,2,LiClO4,THF,EtOH,0.584,0.157746478873239,11,70.9389413790992,,186.666666666667,168,-0.55,15,Ni wire,,0.15,
,,2022-7-22,Du and MacFarlane 1,Autoclave,2,LiBF4,THF,EtOH,0.584,0.125821596244131,15,77.1576148116825,,148.888888888889,134,-0.55,15,Ni wire,,0.15,
,,2022-7-22,Du and MacFarlane 1,Autoclave,2,LiBF4,THF,EtOH,0.584,0.131455399061033,11,59.1157844825827,,155.555555555556,140,-0.55,15,Ni wire,,0.15,
,,2022-7-22,Du and MacFarlane 1,Autoclave,2,LiOTf,THF,EtOH,0.584,0.251643192488263,33,339.493505171403,,297.777777777778,268,-0.55,15,Ni wire,,0.15,
,,2022-7-22,Du and MacFarlane 1,Autoclave,2,LiBF4,THF,EtOH,0.584,0.102347417840376,21,87.8675523900204,,121.111111111111,109,-0.55,15,Ni wire,,0.15,
,,2022-7-22,Du and MacFarlane 1,Autoclave,2,LiNTf2,THF,EtOH,0.584,0.210328638497653,39,335.347722883014,,248.888888888889,224,-0.55,15,Ni wire,,0.15,
,,2022-7-22,Du and MacFarlane 1,Autoclave,2,LiFSI,THF,EtOH,0.584,0.569014084507042,47,1093.33491794345,,673.333333333333,606,-0.55,15,Ni wire,,0.15,
,,2022-7-22,Du and MacFarlane 1,Autoclave,2,LiNTf2,THF,EtOH,0.584,0.0657276995305164,52,139.728217867922,,77.7777777777778,70,-0.2,15,Ni wire,,0.15,
,,2022-7-22,Du and MacFarlane 1,Autoclave,2,LiNTf2,THF,EtOH,0.584,0.132394366197183,65,351.815691417448,,156.666666666667,141,-0.4,15,Ni wire,,0.15,
,,2022-7-22,Du and MacFarlane 1,Autoclave,2,LiNTf2,THF,EtOH,0.584,0.162441314553991,65,431.660387341974,,192.222222222222,173,-0.45,15,Ni wire,,0.15,
,y,2022-7-22,Du and MacFarlane 1,Autoclave,2,LiNTf2,THF,EtOH,0.584,0.206572769953052,84,709.38941379099,,244.444444444444,220,-0.5,15,Ni wire,,0.15,
,y,2022-7-22,Du and MacFarlane 1,Autoclave,2,LiNTf2,THF,EtOH,0.584,0.183098591549296,98,733.573143806594,,216.666666666667,195,-0.5,15,Ni wire,,0.15,
,y,2022-7-22,Du and MacFarlane 1,Autoclave,2,LiNTf2,THF,EtOH,0.584,0.227230046948357,73,678.142499135912,,268.888888888889,242,-0.5,15,Ni wire,,0.15,
,y,2022-7-22,Du and MacFarlane 1,Autoclave,2,LiNTf2,THF,EtOH,0.584,0.269483568075117,82,903.396670138376,,318.888888888889,287,-0.6,15,Ni wire,,0.15,
,y,2022-7-22,Du and MacFarlane 1,Autoclave,2,LiNTf2,THF,EtOH,0.584,0.255399061032864,91,950.151881501872,,302.222222222222,272,-0.6,15,Ni wire,,0.15,
,y,2022-7-22,Du and MacFarlane 1,Autoclave,2,LiNTf2,THF,EtOH,0.584,0.289201877934272,72,851.267296549188,,342.222222222222,308,-0.6,15,Ni wire,,0.15,
,y,2022-7-22,Du and MacFarlane 1,Autoclave,2,LiNTf2,THF,EtOH,0.584,0.306103286384977,80,1001.12964889984,,362.222222222222,326,-0.7,15,Ni wire,,0.15,
,y,2022-7-22,Du and MacFarlane 1,Autoclave,2,LiNTf2,THF,EtOH,0.584,0.31924882629108,76,991.916799370087,,377.777777777778,340,-0.7,15,Ni wire,,0.15,
,y,2022-7-22,Du and MacFarlane 1,Autoclave,2,LiNTf2,THF,EtOH,0.584,0.274178403755869,90,1008.80702350797,,324.444444444444,292,-0.7,15,Ni wire,,0.15,
,y,2022-7-22,Du and MacFarlane 1,Autoclave,2,LiNTf2,THF,EtOH,0.584,0.345539906103286,97,1370.25782005862,,408.888888888889,368,-0.8,15,Ni wire,,0.15,
,y,2022-7-22,Du and MacFarlane 1,Autoclave,2,LiNTf2,THF,EtOH,0.584,0.307042253521127,66,828.465493963049,,363.333333333333,327,-0.8,15,Ni wire,,0.15,
,y,2022-7-22,Du and MacFarlane 1,Autoclave,2,LiNTf2,THF,EtOH,0.584,0.338967136150235,85,1177.90119925198,,401.111111111111,361,-0.8,15,Ni wire,,0.15,
,y,2022-7-22,Du and MacFarlane 1,Autoclave,2,LiNTf2,THF,EtOH,0.584,0.306103286384977,73,913.530804621103,,362.222222222222,326,-1,15,Ni wire,,0.15,
,y,2022-7-22,Du and MacFarlane 1,Autoclave,2,LiNTf2,THF,EtOH,0.584,0.299530516431925,72,881.669699997373,,354.444444444444,319,-1,15,Ni wire,,0.15,
,y,2022-7-22,Du and MacFarlane 1,Autoclave,2,LiNTf2,THF,EtOH,0.584,0.138967136150235,72,818.101038242078,,328.888888888889,148,-0.55,15,Ni wire,,0.15,
,y,2022-7-22,Du and MacFarlane 1,Autoclave,2,LiNTf2,THF,EtOH,0.584,0.139906103286385,73,835.068036126039,,331.111111111111,149,-0.55,15,Ni wire,,0.15,
,y,2022-7-22,Du and MacFarlane 1,Autoclave,2,LiNTf2,THF,EtOH,0.584,0.133333333333333,57,621.406700781849,,315.555555555556,142,-0.55,15,Ni wire,,0.15,
,y,2022-7-22,Du and MacFarlane 1,Autoclave,2,LiNTf2,THF,EtOH,0.584,0.408450704225352,89,990.765193178867,,322.222222222222,435,-0.55,15,Ni wire,,0.15,
,y,2022-7-22,Du and MacFarlane 1,Autoclave,2,LiNTf2,THF,EtOH,0.584,0.338967136150235,98,905.367196287794,,267.407407407407,361,-0.55,15,Ni wire,,0.15,
,y,2022-7-22,Du and MacFarlane 1,Autoclave,2,LiNTf2,THF,EtOH,0.584,0.329577464788732,83,745.549848195272,,260,351,-0.55,15,Ni wire,,0.15,
,y,2022-7-22,Du and MacFarlane 1,Autoclave,2,LiNTf2,THF,EtOH,0.584,0.431924882629108,89,785.779291141862,,255.555555555556,460,-0.55,15,Ni wire,,0.15,
,y,2022-7-22,Du and MacFarlane 1,Autoclave,2,LiNTf2,THF,EtOH,0.584,0.426291079812207,85,740.67471531911,,252.222222222222,454,-0.55,15,Ni wire,,0.15,
,y,2022-7-22,Du and MacFarlane 1,Autoclave,2,LiNTf2,THF,EtOH,0.584,0.432863849765258,98,867.121075114972,,256.111111111111,461,-0.55,15,Ni wire,,0.15,
,,2022-7-22,Du and MacFarlane 1,Autoclave,2,LiNTf2,THF,EtOH,0.584,0.135211267605634,97,1608.5635278949,,480,144,-0.55,15,Ni wire (isolated),,0.05,
,,2022-7-22,Du and MacFarlane 1,Autoclave,2,LiNTf2,THF,EtOH,0.584,0.144600938967136,97,1720.26932844315,,513.333333333333,154,-0.55,15,Ni wire (isolated),,0.05,
,,2022-7-22,Du and MacFarlane 1,Autoclave,2,LiNTf2,THF,EtOH,0.584,0.6018779342723,98,1808.5399430001,,534.166666666667,641,-0.55,15,Ni wire (isolated),,0.05,
,,2022-7-22,Du and MacFarlane 1,Autoclave,2,LiNTf2,THF,EtOH,0.584,0.64131455399061,98,1927.04022007655,,569.166666666667,683,-0.55,15,Ni wire (isolated),,0.05,
,,2022-7-22,Du and MacFarlane 1,Autoclave,2,LiNTf2,THF,EtOH,0.584,0.654460093896714,99,1986.60705031736,,580.833333333333,697,-0.55,15,Ni wire (isolated),,0.05,
,,2022-7-22,Du and MacFarlane 1,Autoclave,2,LiNTf2,THF,EtOH,0.584,0.623474178403756,97,1854.31628910106,,553.333333333333,664,-0.55,15,Ni wire (isolated),,0.05,
,,2022-7-22,Du and MacFarlane 1,Autoclave,2,LiNTf2,THF,EtOH,0.584,,97,1387.31397455093,,413.978494623656,770,-0.55,15,Ni wire (isolated),,0.05,
,,2022-7-22,Du and MacFarlane 1,Autoclave,2,LiNTf2,THF,EtOH,0.584,,95,1046.44324913401,,318.835616438356,931,-0.55,15,Ni wire (isolated),,0.05,
,,2022-7-22,Du and MacFarlane 1,Autoclave,2,LiNTf2,THF,EtOH,0.584,,97,879.361775159933,,262.404092071611,1026,-0.55,15,Ni wire (isolated),,0.05,
,,2022-7-22,Du and MacFarlane 1,Autoclave,2,LiNTf2,THF,EtOH,0.584,,98,791.412564760574,,233.75,1122,-0.55,15,Ni wire (isolated),,0.05,
,,2022-7-22,Du and MacFarlane 1,Autoclave,2,LiNTf2,THF,EtOH,0.584,,99,847.229477341226,,247.708333333333,1189,-0.55,15,Ni wire (isolated),,0.05,
,,2022-7-22,Du and MacFarlane 1,Autoclave,2,LiNTf2,THF,EtOH,0.584,,99,779.536625913628,,227.916666666667,1094,-0.55,15,Ni wire (isolated),,0.05,
https://doi.org/10.1021/acscatal.2c00389,,2022-4-15,Lazouski and Manthiram 1,Compartment cell,1,LiBF4,THF,none,0,,0,0,,20,7.2,,1,,,1,
,,2022-4-15,Lazouski and Manthiram 1,Compartment cell,1,LiBF4,THF,IAA,0.0584,,1.2,0.829156457677782,,20,7.2,,1,,,1,
,,2022-4-15,Lazouski and Manthiram 1,Compartment cell,1,LiBF4,THF,IAA,0.1168,,3.4,2.34927663008705,,20,7.2,,1,,,1,
,,2022-4-15,Lazouski and Manthiram 1,Compartment cell,1,LiBF4,THF,IAA,0.2044,,4.9,3.38572220218427,,20,7.2,,1,,,1,
,,2022-4-15,Lazouski and Manthiram 1,Compartment cell,1,LiBF4,THF,IAA,0.292,,2.5,1.72740928682871,,20,7.2,,1,,,1,
,,2022-4-15,Lazouski and Manthiram 1,Compartment cell,1,LiBF4,THF,IAA,0.0584,,2.5,1.72740928682871,,20,7.2,,1,,,1,
,,2022-4-15,Lazouski and Manthiram 1,Compartment cell,1,LiBF4,THF,IAA,0.1168,,2.8,1.93469840124816,,20,7.2,,1,,,1,
,,2022-4-15,Lazouski and Manthiram 1,Compartment cell,1,LiBF4,THF,IButOH,0.2044,,0.8,0.552770971785188,,20,7.2,,1,,,1,
,,2022-4-15,Lazouski and Manthiram 1,Compartment cell,1,LiBF4,THF,IButOH,0.292,,4.4,3.04024034481853,,20,7.2,,1,,,1,
,,2022-4-15,Lazouski and Manthiram 1,Compartment cell,1,LiBF4,THF,IButOH,0.0584,,2.6,1.79650565830186,,20,7.2,,1,,,1,
,,2022-4-15,Lazouski and Manthiram 1,Compartment cell,1,LiBF4,THF,IButOH,0.1168,,1.7,1.17463831504352,,20,7.2,,1,,,1,
,,2022-4-15,Lazouski and Manthiram 1,Compartment cell,1,LiBF4,THF,IButOH,0.2044,,1.5,1.03644557209723,,20,7.2,,1,,,1,
,,2022-4-15,Lazouski and Manthiram 1,Compartment cell,1,LiBF4,THF,IButOH,0.292,,1.4,0.967349200624078,,20,7.2,,1,,,1,
,y,2022-4-15,Lazouski and Manthiram 1,Compartment cell,1,LiBF4,THF,1hexanol,0.0584,0.1,0.8,0.552770971785188,,20,7.2,,1,,,1,
,y,2022-4-15,Lazouski and Manthiram 1,Compartment cell,1,LiBF4,THF,1hexanol,0.1168,0.2,3.3,2.2801802586139,,20,7.2,,1,,,1,
,y,2022-4-15,Lazouski and Manthiram 1,Compartment cell,1,LiBF4,THF,1hexanol,0.2044,0.35,3.8,2.62566211597964,,20,7.2,,1,,,1,
,y,2022-4-15,Lazouski and Manthiram 1,Compartment cell,1,LiBF4,THF,1hexanol,0.292,0.5,2.7,1.86560202977501,,20,7.2,,1,,,1,
,y,2022-4-15,Lazouski and Manthiram 1,Compartment cell,1,LiBF4,THF,1hexanol,0.0584,0.6,4.6,3.17843308776483,,20,7.2,,1,,,1,
,y,2022-4-15,Lazouski and Manthiram 1,Compartment cell,1,LiBF4,THF,1hexanol,0.1168,0.75,3.6,2.48746937303334,,20,7.2,,1,,,1,
,y,2022-4-15,Lazouski and Manthiram 1,Compartment cell,1,LiBF4,THF,1hexanol,0.2044,0.1,0.17,0.0176195747256529,,3,7.2,,1,,,1,
,y,2022-4-15,Lazouski and Manthiram 1,Compartment cell,1,LiBF4,THF,1hexanol,0.292,0.2,0.22,0.022801802586139,,3,7.2,,1,,,1,
,y,2022-4-15,Lazouski and Manthiram 1,Compartment cell,1,LiBF4,THF,1hexanol,0.0584,0.35,1.2,0.124373468651667,,3,7.2,,1,,,1,
,y,2022-4-15,Lazouski and Manthiram 1,Compartment cell,1,LiBF4,THF,1hexanol,0.1168,0.5,13.5,1.39920152233126,,3,7.2,,1,,,1,
,y,2022-4-15,Lazouski and Manthiram 1,Compartment cell,1,LiBF4,THF,1hexanol,0.2044,0.6,12,1.24373468651667,,3,7.2,,1,,,1,
,y,2022-4-15,Lazouski and Manthiram 1,Compartment cell,1,LiBF4,THF,1hexanol,0.292,0.75,15,1.55466835814584,,3,7.2,,1,,,1,
,,2022-4-15,Lazouski and Manthiram 1,Compartment cell,1,LiBF4,THF,"1,3propanediol",0.0584,0.1,8.38,5.79027592944984,,20,7.2,,1,,,1,
,,2022-4-15,Lazouski and Manthiram 1,Compartment cell,1,LiBF4,THF,"1,3propanediol",0.1168,0.2,1.42,0.981168474918708,,20,7.2,,1,,,1,
,,2022-4-15,Lazouski and Manthiram 1,Compartment cell,1,LiBF4,THF,"1,3propanediol",0.0584,0.3,0.4,0.276385485892594,,20,7.2,,1,,,1,
,,2022-4-15,Lazouski and Manthiram 1,Compartment cell,1,LiBF4,THF,"1,5-pentanediol",0.1168,0.1,0.21,0.145102380093612,,20,7.2,,1,,,1,
,,2022-4-15,Lazouski and Manthiram 1,Compartment cell,1,LiBF4,THF,"1,5-pentanediol",0.2044,0.2,1.66,1.14699976645426,,20,7.2,,1,,,1,
,,2022-4-15,Lazouski and Manthiram 1,Compartment cell,1,LiBF4,THF,"1,5-pentanediol",0.292,0.3,4.43,3.06096925626048,,20,7.2,,1,,,1,
,y,2022-4-15,Lazouski and Manthiram 1,Compartment cell,1,LiBF4,THF,1butanol,0.0584,0.1,0.08,0.0552770971785188,,20,7.2,,1,,,1,
